x pos,y pos,z pos,roll,pitch,yaw,rcs,pd
10,60,5,0,17.75734707816393,90,0,0
11,64,4,-13.63302222536641,-2.8592436091481717,75.96375653207353,-66.9805909420346,0.4273464458563606
14,66,3,-15.501359566936996,-8.554355513065325,33.690067525979785,-40.20642948148435,0.5864722439410759
16,69,2,-15.501359566936996,4.601673461850376,56.309932474020215,-53.7101949137833,0.3979197399970611
17,73,2,0.0,4.000382761467602,75.96375653207353,-51.7100106004011,0.2260163242802018
20,76,2,0.0,-6.287333585925558,45.0,-51.8052014694235,0.288188740523295
24,76,1,-14.036243467926479,-9.09708958809118,0.0,-47.2504117718769,0.36707030568038235
28,77,2,13.63302222536641,2.8592436091481734,14.036243467926479,-100,0
31,75,2,0.0,-9.638182302313423,-33.690067525979785,-100,0
33,71,2,0.0,-6.041702971588226,-63.43494882292201,-100,0
37,70,1,-13.63302222536641,9.96925297220788,-14.036243467926479,-44.0796914500548,0.44686600418203903
41,70,2,14.036243467926479,2.8592436091481734,0.0,-100,0
44,72,1,-15.501359566936996,6.835894128066644,33.690067525979785,-50.421132093699,0.3046572014236666
48,73,2,13.63302222536641,-4.000382761467599,14.036243467926479,-100,0
52,75,1,-12.604382648379183,2.552602949380911,26.56505117707799,-50.421132093699,0.3046945324611243
56,77,0,-12.604382648379183,0.0,26.56505117707799,-47.1133983115368,0.3596211101206137
58,80,0,0.0,6.041702971588226,56.309932474020215,-48.3588574746664,0.3242436868917765
61,82,0,0.0,-4.601673461850376,33.690067525979785,-57.950373216342,0.18228632221997754
65,83,0,0.0,-4.000382761467599,14.036243467926479,-50.421132093699,0.27694541640947423
68,85,1,15.501359566936996,4.000382761467599,33.690067525979785,-56.49814942583605,0.18894892083290216
72,85,2,14.036243467926479,-6.835894128066644,0.0,-100,0
75,83,2,0.0,-6.835894128066644,-33.690067525979785,-100,0
78,80,2,0.0,-2.304553047879762,-45.0,-100,0
78,76,1,-14.036243467926479,-9.09708958809118,-90.0,-44.0012968299425,0.4343022711108916
77,72,2,13.63302222536641,-2.8592436091481743,-104.03624346792648,-100,0
78,68,2,0.0,5.704316806863184,-75.96375653207353,-41.2553880686859,0.5517793712227954
79,64,2,0.0,0.0,-75.96375653207353,-42.32012872734475,0.5566861111356755
82,62,2,0.0,8.554355513065325,-33.690067525979785,-38.38045116845635,0.6642776282007232
86,63,1,-13.63302222536641,9.638182302313423,14.036243467926479,-56.49814942583605,0.2667337753532
90,62,0,-13.63302222536641,-5.7043168068631855,-14.036243467926479,-50.421132093699,0.36905199381138465
