x pos,y pos,z pos,roll,pitch,yaw,rcs,pd
10,60,5,0,17.75734707816393,90,0,0
13,63,4,-13.262676008304846,-9.09708958809118,45.0,-11.740589576623805,0.9997685667189323
17,63,3,-14.036243467926479,-9.09708958809118,0.0,-16.235614657665074,0.999906601752891
21,61,2,-12.604382648379183,-5.399867980859269,-26.56505117707799,-17.038481991365494,0.9996549580310191
25,60,1,-13.63302222536641,2.552602949380911,-14.036243467926479,-8.918773652594755,0.9999958643447041
29,62,0,-12.604382648379183,8.220654094912417,26.56505117707799,-14.479890060548035,0.999774621376875
31,65,0,0.0,6.041702971588226,56.309932474020215,-12.713399657113593,0.9999995653241572
33,68,0,0.0,0.0,56.309932474020215,-12.587206576046398,0.9943658954522718
37,70,0,0.0,-6.041702971588226,26.56505117707799,-18.64729367101982,0.9606735064748864
41,70,0,0.0,-5.399867980859269,0.0,-16.66730382253521,0.9686773790927912
45,69,0,0.0,-2.8592436091481734,-14.036243467926479,-16.582739660166528,0.9751420335389385
49,67,0,0.0,-2.552602949380911,-26.56505117707799,-17.227161505157614,0.9774257355048207
53,65,0,0.0,0.0,-26.56505117707799,-16.7451139490514,0.9997451582408237
57,63,0,0.0,0.0,-26.56505117707799,-17.127622472613545,0.9997827935071282
61,61,0,0.0,0.0,-26.56505117707799,-18.26003468648048,0.9998283947514146
65,60,0,0.0,2.552602949380911,-14.036243467926479,-16.69937556061513,0.9998375129962122
69,60,0,0.0,2.8592436091481734,0.0,-12.107093248214076,0.999954097373986
73,60,0,0.0,0.0,0.0,-11.065233511983031,0.9999631379184851
77,60,0,0.0,0.0,0.0,-14.622121048506376,0.9997233287836094
81,60,0,0.0,0.0,0.0,-13.332655284906956,0.9998246948003898
85,60,0,0.0,0.0,0.0,-12.713399657113593,0.9980152372156258
89,60,0,0.0,0.0,0.0,-13.959752709549624,0.9960496633122585
