,0
0_-80,1.10016029070384
0_-79,0.6221054546142649
0_-78,0.14405061852468992
0_-77,-0.3340042175648851
0_-76,-0.81205905365446
0_-75,-1.290113889744035
0_-74,-1.7681687258336103
0_-73,-2.246223561923185
0_-72,-2.72427839801276
0_-71,-3.202333234102335
0_-70,-3.68038807019191
0_-69,-3.978265803676954
0_-68,-4.276143537161998
0_-67,-4.574021270647043
0_-66,-4.871899004132086
0_-65,-5.16977673761713
0_-64,-5.467654471102175
0_-63,-5.765532204587219
0_-62,-6.063409938072262
0_-61,-6.361287671557307
0_-60,-6.65916540504235
0_-59,-6.846020565272213
0_-58,-7.032875725502076
0_-57,-7.2197308857319396
0_-56,-7.406586045961802
0_-55,-7.593441206191665
0_-54,-7.780296366421529
0_-53,-7.967151526651392
0_-52,-8.154006686881255
0_-51,-8.340861847111118
0_-50,-8.52771700734098
0_-49,-8.741886814479283
0_-48,-8.956056621617584
0_-47,-9.170226428755887
0_-46,-9.38439623589419
0_-45,-9.598566043032491
0_-44,-9.812735850170792
0_-43,-10.026905657309095
0_-42,-10.241075464447396
0_-41,-10.4552452715857
0_-40,-10.669415078724
0_-39,-10.944689955888611
0_-38,-11.21996483305322
0_-37,-11.495239710217831
0_-36,-11.770514587382442
0_-35,-12.04578946454705
0_-34,-12.321064341711661
0_-33,-12.596339218876272
0_-32,-12.871614096040881
0_-31,-13.146888973205492
0_-30,-13.4221638503701
0_-29,-13.870841658855952
0_-28,-14.319519467341802
0_-27,-14.768197275827653
0_-26,-15.216875084313502
0_-25,-15.66555289279935
0_-24,-16.1142307012852
0_-23,-16.562908509771052
0_-22,-17.011586318256903
0_-21,-17.46026412674275
0_-20,-17.9089419352286
0_-19,-19.04764486942469
0_-18,-20.186347803620784
0_-17,-21.325050737816873
0_-16,-22.463753672012963
0_-15,-23.602456606209053
0_-14,-24.741159540405143
0_-13,-25.879862474601232
0_-12,-27.018565408797322
0_-11,-28.15726834299341
0_-10,-29.2959712771895
0_-9,-30.99426369111494
0_-8,-32.69255610504038
0_-7,-34.390848518965825
0_-6,-36.08914093289127
0_-5,-37.7874333468167
0_-4,-39.48572576074214
0_-3,-41.184018174667585
0_-2,-42.88231058859302
0_-1,-44.580603002518465
0_0,-46.2788954164439
0_1,-44.540333378989814
0_2,-42.801771341535726
0_3,-41.06320930408164
0_4,-39.324647266627544
0_5,-37.58608522917345
0_6,-35.84752319171936
0_7,-34.10896115426527
0_8,-32.37039911681118
0_9,-30.63183707935709
0_10,-28.893275041903
0_11,-28.001211431888663
0_12,-27.10914782187432
0_13,-26.217084211859984
0_14,-25.325020601845644
0_15,-24.4329569918313
0_16,-23.540893381816964
0_17,-22.648829771802625
0_18,-21.75676616178828
0_19,-20.864702551773945
0_20,-19.9726389417596
0_21,-19.412348204034984
0_22,-18.852057466310363
0_23,-18.291766728585742
0_24,-17.73147599086112
0_25,-17.1711852531365
0_26,-16.610894515411882
0_27,-16.05060377768726
0_28,-15.49031303996264
0_29,-14.93002230223802
0_30,-14.3697315645134
0_31,-14.0481553383585
0_32,-13.7265791122036
0_33,-13.4050028860487
0_34,-13.083426659893803
0_35,-12.7618504337389
0_36,-12.440274207584
0_37,-12.1186979814291
0_38,-11.797121755274201
0_39,-11.475545529119302
0_40,-11.1539693029644
0_41,-10.885350775924792
0_42,-10.616732248885185
0_43,-10.348113721845577
0_44,-10.079495194805968
0_45,-9.81087666776636
0_46,-9.542258140726753
0_47,-9.273639613687145
0_48,-9.005021086647536
0_49,-8.736402559607928
0_50,-8.46778403256832
0_51,-8.304426077782662
0_52,-8.141068122997002
0_53,-7.977710168211344
0_54,-7.814352213425685
0_55,-7.650994258640025
0_56,-7.487636303854367
0_57,-7.324278349068708
0_58,-7.160920394283048
0_59,-6.997562439497389
0_60,-6.83420448471173
0_61,-6.5209898871225995
0_62,-6.207775289533468
0_63,-5.8945606919443385
0_64,-5.581346094355207
0_65,-5.268131496766075
0_66,-4.954916899176944
0_67,-4.641702301587814
0_68,-4.328487703998682
0_69,-4.015273106409551
0_70,-3.70205850882042
0_71,-3.222233528067326
0_72,-2.7424085473142323
0_73,-2.2625835665611382
0_74,-1.7827585858080444
0_75,-1.30293360505495
0_76,-0.8231086243018562
0_77,-0.34328364354876206
0_78,0.13654133720433193
0_79,0.616366317957426
0_80,1.09619129871052
1_-80,0.011910645892689975
1_-79,-0.9386375897276247
1_-78,-1.8891858253479392
1_-77,-2.839734060968254
1_-76,-3.7902822965885683
1_-75,-4.740830532208882
1_-74,-5.691378767829198
1_-73,-6.641927003449512
1_-72,-7.592475239069827
1_-71,-8.543023474690141
1_-70,-9.493571710310455
1_-69,-9.924509364127069
1_-68,-10.35544701794368
1_-67,-10.786384671760292
1_-66,-11.217322325576903
1_-65,-11.648259979393515
1_-64,-12.079197633210129
1_-63,-12.510135287026738
1_-62,-12.941072940843352
1_-61,-13.372010594659963
1_-60,-13.802948248476575
1_-59,-14.051885666761898
1_-58,-14.300823085047218
1_-57,-14.549760503332541
1_-56,-14.798697921617862
1_-55,-15.047635339903184
1_-54,-15.296572758188507
1_-53,-15.545510176473828
1_-52,-15.794447594759149
1_-51,-16.04338501304447
1_-50,-16.29232243132979
1_-49,-16.632765279324044
1_-48,-16.973208127318294
1_-47,-17.313650975312544
1_-46,-17.654093823306795
1_-45,-17.99453667130105
1_-44,-18.334979519295295
1_-43,-18.67542236728955
1_-42,-19.0158652152838
1_-41,-19.35630806327805
1_-40,-19.6967509112723
1_-39,-19.979414440475253
1_-38,-20.262077969678202
1_-37,-20.54474149888115
1_-36,-20.8274050280841
1_-35,-21.11006855728705
1_-34,-21.39273208649
1_-33,-21.675395615692953
1_-32,-21.958059144895902
1_-31,-22.24072267409885
1_-30,-22.5233862033018
1_-29,-23.22098788629781
1_-28,-23.91858956929382
1_-27,-24.616191252289834
1_-26,-25.313792935285846
1_-25,-26.01139461828185
1_-24,-26.708996301277864
1_-23,-27.406597984273873
1_-22,-28.104199667269885
1_-21,-28.80180135026589
1_-20,-29.4994030332619
1_-19,-30.042079083238534
1_-18,-30.584755133215165
1_-17,-31.127431183191796
1_-16,-31.670107233168423
1_-15,-32.21278328314505
1_-14,-32.755459333121685
1_-13,-33.29813538309831
1_-12,-33.84081143307495
1_-11,-34.383487483051574
1_-10,-34.9261635330282
1_-9,-36.13696713531553
1_-8,-37.347770737602865
1_-7,-38.5585743398902
1_-6,-39.76937794217753
1_-5,-40.980181544464855
1_-4,-42.19098514675218
1_-3,-43.40178874903952
1_-2,-44.61259235132684
1_-1,-45.823395953614174
1_0,-47.0341995559015
1_1,-46.08238783511747
1_2,-45.13057611433343
1_3,-44.1787643935494
1_4,-43.226952672765364
1_5,-42.27514095198133
1_6,-41.32332923119729
1_7,-40.371517510413256
1_8,-39.41970578962922
1_9,-38.46789406884518
1_10,-37.51608234806115
1_11,-36.7808497218114
1_12,-36.04561709556164
1_13,-35.31038446931189
1_14,-34.57515184306213
1_15,-33.839919216812376
1_16,-33.10468659056262
1_17,-32.36945396431287
1_18,-31.63422133806311
1_19,-30.898988711813356
1_20,-30.163756085563598
1_21,-29.865391054742258
1_22,-29.56702602392091
1_23,-29.268660993099566
1_24,-28.97029596227822
1_25,-28.671930931456874
1_26,-28.373565900635533
1_27,-28.07520086981419
1_28,-27.776835838992838
1_29,-27.478470808171497
1_30,-27.18010577735015
1_31,-26.49708070713807
1_32,-25.814055636925993
1_33,-25.13103056671391
1_34,-24.448005496501832
1_35,-23.76498042628975
1_36,-23.08195535607767
1_37,-22.398930285865593
1_38,-21.715905215653514
1_39,-21.032880145441432
1_40,-20.34985507522935
1_41,-19.8766462775187
1_42,-19.40343747980804
1_43,-18.930228682097393
1_44,-18.457019884386735
1_45,-17.983811086676077
1_46,-17.51060228896543
1_47,-17.037393491254775
1_48,-16.56418469354412
1_49,-16.090975895833463
1_50,-15.617767098122808
1_51,-15.57274851231049
1_52,-15.527729926498171
1_53,-15.482711340685853
1_54,-15.437692754873535
1_55,-15.392674169061213
1_56,-15.347655583248894
1_57,-15.302636997436576
1_58,-15.257618411624254
1_59,-15.212599825811935
1_60,-15.167581239999615
1_61,-14.591413235329986
1_62,-14.015245230660355
1_63,-13.439077225990726
1_64,-12.862909221321095
1_65,-12.286741216651462
1_66,-11.710573211981833
1_67,-11.134405207312202
1_68,-10.558237202642571
1_69,-9.98206919797294
1_70,-9.40590119330331
1_71,-8.463122969367555
1_72,-7.520344745431802
1_73,-6.577566521496048
1_74,-5.634788297560295
1_75,-4.69201007362454
1_76,-3.749231849688786
1_77,-2.8064536257530324
1_78,-1.863675401817278
1_79,-0.9208971778815239
1_80,0.021881046054230024
2_-80,-1.07633899891846
2_-79,-2.499380634069514
2_-78,-3.9224222692205686
2_-77,-5.3454639043716226
2_-76,-6.7685055395226765
2_-75,-8.19154717467373
2_-74,-9.614588809824784
2_-73,-11.03763044497584
2_-72,-12.460672080126894
2_-71,-13.883713715277947
2_-70,-15.306755350429
2_-69,-15.87075292457718
2_-68,-16.43475049872536
2_-67,-16.99874807287354
2_-66,-17.56274564702172
2_-65,-18.1267432211699
2_-64,-18.69074079531808
2_-63,-19.25473836946626
2_-62,-19.818735943614442
2_-61,-20.38273351776262
2_-60,-20.9467310919108
2_-59,-21.257750768251583
2_-58,-21.56877044459236
2_-57,-21.87979012093314
2_-56,-22.19080979727392
2_-55,-22.5018294736147
2_-54,-22.812849149955483
2_-53,-23.123868826296263
2_-52,-23.43488850263704
2_-51,-23.745908178977825
2_-50,-24.0569278553186
2_-49,-24.523643744168805
2_-48,-24.990359633019
2_-47,-25.457075521869204
2_-46,-25.923791410719403
2_-45,-26.3905072995696
2_-44,-26.857223188419802
2_-43,-27.323939077270005
2_-42,-27.7906549661202
2_-41,-28.257370854970404
2_-40,-28.7240867438206
2_-39,-29.014138925061893
2_-38,-29.30419110630318
2_-37,-29.594243287544472
2_-36,-29.884295468785762
2_-35,-30.17434765002705
2_-34,-30.464399831268345
2_-33,-30.75445201250963
2_-32,-31.04450419375092
2_-31,-31.33455637499221
2_-30,-31.6246085562335
2_-29,-32.57113411373967
2_-28,-33.517659671245845
2_-27,-34.464185228752015
2_-26,-35.410710786258186
2_-25,-36.35723634376435
2_-24,-37.303761901270526
2_-23,-38.2502874587767
2_-22,-39.19681301628287
2_-21,-40.14333857378903
2_-20,-41.0898641312952
2_-19,-41.036513297052366
2_-18,-40.983162462809545
2_-17,-40.92981162856672
2_-16,-40.87646079432389
2_-15,-40.823109960081055
2_-14,-40.76975912583823
2_-13,-40.7164082915954
2_-12,-40.663057457352565
2_-11,-40.60970662310974
2_-10,-40.5563557888669
2_-9,-41.27967057951613
2_-8,-42.00298537016534
2_-7,-42.72630016081457
2_-6,-43.449614951463786
2_-5,-44.172929742113
2_-4,-44.896244532762225
2_-3,-45.61955932341145
2_-2,-46.34287411406066
2_-1,-47.06618890470989
2_0,-47.7895036953591
2_1,-47.624442291245124
2_2,-47.45938088713115
2_3,-47.29431948301717
2_4,-47.129258078903185
2_5,-46.9641966747892
2_6,-46.79913527067522
