x,y,z,radius
400,300,0,50
-235,-163,0,12
389,-4,0,19
165,84,0,29
-277,-26,0,23
455,692,0,21
764,561,0,26
199,-277,0,10
395,602,0,20
428,517,0,26
122,-302,0,15
315,5,0,14
694,694,0,21
702,22,0,24
499,395,0,28
374,391,0,24
-20,468,0,24
736,161,0,25
221,670,0,26
705,374,0,24
594,368,0,28
791,585,0,25
104,314,0,15
199,632,0,19
271,682,0,27
710,689,0,30
482,288,0,16
651,698,0,21
-196,349,0,10
41,-133,0,11
-250,209,0,28
114,-133,0,26
-71,194,0,17
81,-227,0,23
-285,-234,0,21
387,2,0,17
-302,-181,0,13
-212,-299,0,11
-307,414,0,18
-89,-29,0,15
721,-347,0,22
-262,157,0,14
-276,-342,0,21
-119,235,0,20
650,-287,0,19
568,-257,0,18
472,-36,0,25
111,-159,0,20
-142,-301,0,24
-89,454,0,25
704,321,0,14
348,180,0,18
509,-314,0,27
-63,-234,0,18
-282,-81,0,15
-1,-154,0,24
124,690,0,11
155,126,0,24
-200,163,0,12
117,386,0,18
516,220,0,26
-341,-41,0,11
437,487,0,15
-123,698,0,12
143,-142,0,13
-310,22,0,17
-135,95,0,10
716,601,0,24
284,428,0,16
80,538,0,23
697,-307,0,28
-246,506,0,26
21,-158,0,25
399,-311,0,26
-108,400,0,19
