x,y,z,theta_dg,psi_dg
-256,-160,0,0.0,180.0
-260,-156,1,10.024987862075742,135.0
-260,-151,2,11.309932474020213,90.0
-256,-147,3,10.024987862075742,45.0
-252,-143,4,10.024987862075742,45.0
-248,-139,5,10.024987862075742,45.0
-244,-135,6,10.024987862075742,45.0
-240,-131,7,10.024987862075742,45.0
-236,-127,8,10.024987862075742,45.0
-232,-123,9,10.024987862075742,45.0
-228,-119,10,10.024987862075742,45.0
-224,-115,11,10.024987862075742,45.0
-220,-111,12,10.024987862075742,45.0
-216,-107,13,10.024987862075742,45.0
-212,-103,14,10.024987862075742,45.0
-208,-99,15,10.024987862075742,45.0
-204,-95,16,10.024987862075742,45.0
-200,-91,17,10.024987862075742,45.0
-196,-87,18,10.024987862075742,45.0
-192,-83,19,10.024987862075742,45.0
-188,-79,20,10.024987862075742,45.0
-184,-75,21,10.024987862075742,45.0
-180,-71,22,10.024987862075742,45.0
-176,-67,23,10.024987862075742,45.0
-172,-63,24,10.024987862075742,45.0
-168,-59,25,10.024987862075742,45.0
-164,-55,25,0.0,45.0
-160,-51,25,0.0,45.0
-156,-47,25,0.0,45.0
-152,-43,25,0.0,45.0
-148,-39,25,0.0,45.0
-144,-35,25,0.0,45.0
-140,-31,25,0.0,45.0
-136,-27,25,0.0,45.0
-132,-23,25,0.0,45.0
-131,-18,25,0.0,78.69006752597979
-129,-13,25,0.0,68.19859051364818
-127,-8,25,0.0,68.19859051364818
-124,-4,25,0.0,53.13010235415598
-121,0,25,0.0,53.13010235415598
-118,4,25,0.0,53.13010235415598
-114,7,25,0.0,36.86989764584402
-110,10,25,0.0,36.86989764584402
-105,12,25,0.0,21.80140948635181
-100,14,25,0.0,21.80140948635181
-95,16,25,0.0,21.80140948635181
-90,18,25,0.0,21.80140948635181
-85,20,25,0.0,21.80140948635181
-80,22,25,0.0,21.80140948635181
-75,24,25,0.0,21.80140948635181
-70,26,25,0.0,21.80140948635181
-65,28,25,0.0,21.80140948635181
-60,30,25,0.0,21.80140948635181
-55,32,25,0.0,21.80140948635181
-50,34,25,0.0,21.80140948635181
-45,36,25,0.0,21.80140948635181
-40,38,25,0.0,21.80140948635181
-35,40,25,0.0,21.80140948635181
-30,42,25,0.0,21.80140948635181
-25,44,25,0.0,21.80140948635181
-20,46,25,0.0,21.80140948635181
-15,48,25,0.0,21.80140948635181
-10,50,25,0.0,21.80140948635181
-5,52,25,0.0,21.80140948635181
0,54,25,0.0,21.80140948635181
5,56,25,0.0,21.80140948635181
10,58,25,0.0,21.80140948635181
15,60,25,0.0,21.80140948635181
20,62,25,0.0,21.80140948635181
25,64,25,0.0,21.80140948635181
30,66,25,0.0,21.80140948635181
35,68,25,0.0,21.80140948635181
40,70,25,0.0,21.80140948635181
45,72,25,0.0,21.80140948635181
50,74,25,0.0,21.80140948635181
55,76,25,0.0,21.80140948635181
60,78,25,0.0,21.80140948635181
65,80,25,0.0,21.80140948635181
70,82,25,0.0,21.80140948635181
75,84,25,0.0,21.80140948635181
80,86,25,0.0,21.80140948635181
85,88,25,0.0,21.80140948635181
90,90,25,0.0,21.80140948635181
94,93,25,0.0,36.86989764584402
97,97,25,0.0,53.13010235415598
100,101,25,0.0,53.13010235415598
104,104,25,0.0,36.86989764584402
108,107,25,0.0,36.86989764584402
111,111,25,0.0,53.13010235415598
114,115,25,0.0,53.13010235415598
118,118,25,0.0,36.86989764584402
122,121,25,0.0,36.86989764584402
125,125,25,0.0,53.13010235415598
128,129,25,0.0,53.13010235415598
132,132,25,0.0,36.86989764584402
136,135,25,0.0,36.86989764584402
139,139,25,0.0,53.13010235415598
142,143,25,0.0,53.13010235415598
146,146,25,0.0,36.86989764584402
148,150,25,0.0,63.43494882292201
148,155,25,0.0,90.0
148,160,25,0.0,90.0
150,165,25,0.0,68.19859051364818
152,170,25,0.0,68.19859051364818
154,175,25,0.0,68.19859051364818
157,179,25,0.0,53.13010235415598
160,183,25,0.0,53.13010235415598
164,186,25,0.0,36.86989764584402
168,189,25,0.0,36.86989764584402
172,192,25,0.0,36.86989764584402
177,194,25,0.0,21.80140948635181
182,196,25,0.0,21.80140948635181
187,198,25,0.0,21.80140948635181
192,200,25,0.0,21.80140948635181
197,202,25,0.0,21.80140948635181
202,204,25,0.0,21.80140948635181
207,206,25,0.0,21.80140948635181
210,210,25,0.0,53.13010235415598
213,214,25,0.0,53.13010235415598
217,217,25,0.0,36.86989764584402
221,220,25,0.0,36.86989764584402
224,224,25,0.0,53.13010235415598
227,228,25,0.0,53.13010235415598
231,231,25,0.0,36.86989764584402
235,234,25,0.0,36.86989764584402
238,238,25,0.0,53.13010235415598
241,242,25,0.0,53.13010235415598
245,245,25,0.0,36.86989764584402
249,248,25,0.0,36.86989764584402
252,252,25,0.0,53.13010235415598
255,256,25,0.0,53.13010235415598
259,259,25,0.0,36.86989764584402
263,262,25,0.0,36.86989764584402
266,266,25,0.0,53.13010235415598
269,270,25,0.0,53.13010235415598
273,273,25,0.0,36.86989764584402
277,276,25,0.0,36.86989764584402
280,280,25,0.0,53.13010235415598
283,284,25,0.0,53.13010235415598
287,287,25,0.0,36.86989764584402
291,290,25,0.0,36.86989764584402
294,294,25,0.0,53.13010235415598
297,298,25,0.0,53.13010235415598
301,301,25,0.0,36.86989764584402
305,304,25,0.0,36.86989764584402
308,308,25,0.0,53.13010235415598
311,312,25,0.0,53.13010235415598
315,315,25,0.0,36.86989764584402
319,318,25,0.0,36.86989764584402
322,322,25,0.0,53.13010235415598
325,326,25,0.0,53.13010235415598
329,329,25,0.0,36.86989764584402
333,332,25,0.0,36.86989764584402
336,336,25,0.0,53.13010235415598
339,340,25,0.0,53.13010235415598
343,343,25,0.0,36.86989764584402
345,348,25,0.0,68.19859051364818
343,353,25,0.0,111.80140948635182
340,357,24,-11.309932474020213,126.86989764584402
337,361,24,0.0,126.86989764584402
