x,y,z,theta_dg,psi_dg
0,0,0,0.0,270.0
16,-16,2,5.051152528017927,-45.0
32,-16,4,7.125016348901798,0.0
48,0,6,5.051152528017927,45.0
64,16,8,5.051152528017927,45.0
80,32,10,5.051152528017927,45.0
96,48,12,5.051152528017927,45.0
112,64,14,5.051152528017927,45.0
128,64,16,7.125016348901798,0.0
144,48,18,5.051152528017927,-45.0
160,32,20,5.051152528017927,-45.0
176,32,22,7.125016348901798,0.0
192,48,24,5.051152528017927,45.0
208,64,26,5.051152528017927,45.0
224,80,28,5.051152528017927,45.0
240,96,30,5.051152528017927,45.0
256,112,32,5.051152528017927,45.0
272,128,34,5.051152528017927,45.0
288,144,36,5.051152528017927,45.0
304,160,38,5.051152528017927,45.0
320,176,40,5.051152528017927,45.0
320,192,42,7.125016348901798,90.0
336,208,44,5.051152528017927,45.0
352,224,46,5.051152528017927,45.0
368,240,48,5.051152528017927,45.0
384,240,50,7.125016348901798,0.0
400,224,52,5.051152528017927,-45.0
416,224,52,0.0,0.0
432,240,52,0.0,45.0
448,256,52,0.0,45.0
464,256,52,0.0,0.0
480,256,52,0.0,0.0
496,256,52,0.0,0.0
512,272,52,0.0,45.0
528,288,52,0.0,45.0
544,304,52,0.0,45.0
560,320,52,0.0,45.0
576,320,52,0.0,0.0
592,320,52,0.0,0.0
608,320,52,0.0,0.0
624,336,52,0.0,45.0
640,352,52,0.0,45.0
656,368,52,0.0,45.0
672,384,52,0.0,45.0
672,400,52,0.0,90.0
688,416,52,0.0,45.0
704,432,52,0.0,45.0
720,448,52,0.0,45.0
736,464,52,0.0,45.0
752,480,52,0.0,45.0
768,496,52,0.0,45.0
784,512,52,0.0,45.0
