,0
0_-80,-45.3232342466162
0_-79,-45.3232342466162
0_-78,-45.3232342466162
0_-77,-45.3232342466162
0_-76,-45.3232342466162
0_-75,-45.3232342466162
0_-74,-45.3232342466162
0_-73,-45.3232342466162
0_-72,-45.3232342466162
0_-71,-45.3232342466162
0_-70,-45.3232342466162
0_-69,-45.3232342466162
0_-68,-45.3232342466162
0_-67,-45.3232342466162
0_-66,-45.3232342466162
0_-65,-45.3232342466162
0_-64,-45.3232342466162
0_-63,-45.3232342466162
0_-62,-45.3232342466162
0_-61,-45.3232342466162
0_-60,-45.3232342466162
0_-59,-45.3232342466162
0_-58,-45.3232342466162
0_-57,-45.3232342466162
0_-56,-45.3232342466162
0_-55,-45.3232342466162
0_-54,-45.3232342466162
0_-53,-45.3232342466162
0_-52,-45.3232342466162
0_-51,-45.3232342466162
0_-50,-45.3232342466162
0_-49,-45.3232342466162
0_-48,-45.3232342466162
0_-47,-45.3232342466162
0_-46,-45.3232342466162
0_-45,-45.3232342466162
0_-44,-45.3232342466162
0_-43,-45.3232342466162
0_-42,-45.3232342466162
0_-41,-45.3232342466162
0_-40,-45.3232342466162
0_-39,-45.3232342466162
0_-38,-45.3232342466162
0_-37,-45.3232342466162
0_-36,-45.3232342466162
0_-35,-45.3232342466162
0_-34,-45.3232342466162
0_-33,-45.3232342466162
0_-32,-45.3232342466162
0_-31,-45.3232342466162
0_-30,-45.3232342466162
0_-29,-45.3232342466162
0_-28,-45.3232342466162
0_-27,-45.3232342466162
0_-26,-45.3232342466162
0_-25,-45.3232342466162
0_-24,-45.3232342466162
0_-23,-45.3232342466162
0_-22,-45.3232342466162
0_-21,-45.3232342466162
0_-20,-45.3232342466162
0_-19,-45.3232342466162
0_-18,-45.3232342466162
0_-17,-45.3232342466162
0_-16,-45.3232342466162
0_-15,-45.3232342466162
0_-14,-45.3232342466162
0_-13,-45.3232342466162
0_-12,-45.3232342466162
0_-11,-45.3232342466162
0_-10,-45.3232342466162
0_-9,-45.3232342466162
0_-8,-45.3232342466162
0_-7,-45.3232342466162
0_-6,-45.3232342466162
0_-5,-45.3232342466162
0_-4,-45.3232342466162
