,0
0_-80,-3.2330056232069246
0_-79,-3.2330056232069246
0_-78,-3.2330056232069246
0_-77,-3.2330056232069246
0_-76,-3.2330056232069246
0_-75,-3.2330056232069246
0_-74,-3.2330056232069246
0_-73,-3.2330056232069246
0_-72,-3.2330056232069246
0_-71,-3.2330056232069246
0_-70,-3.2330056232069246
0_-69,-3.2330056232069246
0_-68,-3.2330056232069246
0_-67,-3.2330056232069246
0_-66,-3.2330056232069246
0_-65,-3.2330056232069246
0_-64,-3.2330056232069246
0_-63,-3.2330056232069246
0_-62,-3.2330056232069246
0_-61,-3.2330056232069246
0_-60,-3.2330056232069246
0_-59,-3.2330056232069246
0_-58,-3.2330056232069246
0_-57,-3.2330056232069246
0_-56,-3.2330056232069246
0_-55,-3.2330056232069246
0_-54,-3.2330056232069246
0_-53,-3.2330056232069246
0_-52,-3.2330056232069246
0_-51,-3.2330056232069246
0_-50,-3.2330056232069246
0_-49,-3.2330056232069246
0_-48,-3.2330056232069246
0_-47,-3.2330056232069246
0_-46,-3.2330056232069246
0_-45,-3.2330056232069246
0_-44,-3.2330056232069246
0_-43,-3.2330056232069246
0_-42,-3.2330056232069246
0_-41,-3.2330056232069246
0_-40,-3.2330056232069246
0_-39,-3.2330056232069246
0_-38,-3.2330056232069246
0_-37,-3.2330056232069246
0_-36,-3.2330056232069246
0_-35,-3.2330056232069246
0_-34,-3.2330056232069246
0_-33,-3.2330056232069246
0_-32,-3.2330056232069246
0_-31,-3.2330056232069246
0_-30,-3.2330056232069246
0_-29,-3.2330056232069246
0_-28,-3.2330056232069246
0_-27,-3.2330056232069246
0_-26,-3.2330056232069246
0_-25,-3.2330056232069246
0_-24,-3.2330056232069246
0_-23,-3.2330056232069246
0_-22,-3.2330056232069246
0_-21,-3.2330056232069246
0_-20,-3.2330056232069246
0_-19,-3.2330056232069246
0_-18,-3.2330056232069246
0_-17,-3.2330056232069246
0_-16,-3.2330056232069246
0_-15,-3.2330056232069246
0_-14,-3.2330056232069246
0_-13,-3.2330056232069246
0_-12,-3.2330056232069246
0_-11,-3.2330056232069246
0_-10,-3.2330056232069246
0_-9,-3.2330056232069246
0_-8,-3.2330056232069246
0_-7,-3.2330056232069246
0_-6,-3.2330056232069246
0_-5,-3.2330056232069246
0_-4,-3.2330056232069246
0_-3,-3.2330056232069246
0_-2,-3.2330056232069246
0_-1,-3.2330056232069246
0_0,-3.2330056232069246
0_1,-3.2330056232069246
0_2,-3.2330056232069246
0_3,-3.2330056232069246
0_4,-3.2330056232069246
0_5,-3.2330056232069246
0_6,-3.2330056232069246
0_7,-3.2330056232069246
0_8,-3.2330056232069246
0_9,-3.2330056232069246
0_10,-3.2330056232069246
0_11,-3.2330056232069246
0_12,-3.2330056232069246
0_13,-3.2330056232069246
0_14,-3.2330056232069246
0_15,-3.2330056232069246
0_16,-3.2330056232069246
0_17,-3.2330056232069246
0_18,-3.2330056232069246
0_19,-3.2330056232069246
0_20,-3.2330056232069246
0_21,-3.2330056232069246
0_22,-3.2330056232069246
0_23,-3.2330056232069246
0_24,-3.2330056232069246
0_25,-3.2330056232069246
0_26,-3.2330056232069246
0_27,-3.2330056232069246
0_28,-3.2330056232069246
0_29,-3.2330056232069246
0_30,-3.2330056232069246
0_31,-3.2330056232069246
0_32,-3.2330056232069246
0_33,-3.2330056232069246
0_34,-3.2330056232069246
0_35,-3.2330056232069246
0_36,-3.2330056232069246
0_37,-3.2330056232069246
0_38,-3.2330056232069246
0_39,-3.2330056232069246
0_40,-3.2330056232069246
0_41,-3.2330056232069246
0_42,-3.2330056232069246
0_43,-3.2330056232069246
0_44,-3.2330056232069246
0_45,-3.2330056232069246
0_46,-3.2330056232069246
0_47,-3.2330056232069246
0_48,-3.2330056232069246
0_49,-3.2330056232069246
0_50,-3.2330056232069246
0_51,-3.2330056232069246
0_52,-3.2330056232069246
0_53,-3.2330056232069246
0_54,-3.2330056232069246
0_55,-3.2330056232069246
0_56,-3.2330056232069246
0_57,-3.2330056232069246
0_58,-3.2330056232069246
0_59,-3.2330056232069246
0_60,-3.2330056232069246
0_61,-3.2330056232069246
0_62,-3.2330056232069246
0_63,-3.2330056232069246
0_64,-3.2330056232069246
0_65,-3.2330056232069246
0_66,-3.2330056232069246
0_67,-3.2330056232069246
0_68,-3.2330056232069246
0_69,-3.2330056232069246
0_70,-3.2330056232069246
0_71,-3.2330056232069246
0_72,-3.2330056232069246
0_73,-3.2330056232069246
0_74,-3.2330056232069246
0_75,-3.2330056232069246
0_76,-3.2330056232069246
0_77,-3.2330056232069246
0_78,-3.2330056232069246
0_79,-3.2330056232069246
0_80,-3.2330056232069246
1_-80,-4.286412628861321
1_-79,-4.286412628861321
1_-78,-4.286412628861321
1_-77,-4.286412628861321
1_-76,-4.286412628861321
1_-75,-4.286412628861321
1_-74,-4.286412628861321
1_-73,-4.286412628861321
1_-72,-4.286412628861321
1_-71,-4.286412628861321
1_-70,-4.286412628861321
1_-69,-4.286412628861321
1_-68,-4.286412628861321
1_-67,-4.286412628861321
1_-66,-4.286412628861321
1_-65,-4.286412628861321
1_-64,-4.286412628861321
1_-63,-4.286412628861321
1_-62,-4.286412628861321
1_-61,-4.286412628861321
1_-60,-4.286412628861321
1_-59,-4.286412628861321
1_-58,-4.286412628861321
1_-57,-4.286412628861321
1_-56,-4.286412628861321
1_-55,-4.286412628861321
1_-54,-4.286412628861321
1_-53,-4.286412628861321
1_-52,-4.286412628861321
1_-51,-4.286412628861321
1_-50,-4.286412628861321
1_-49,-4.286412628861321
1_-48,-4.286412628861321
1_-47,-4.286412628861321
1_-46,-4.286412628861321
1_-45,-4.286412628861321
1_-44,-4.286412628861321
1_-43,-4.286412628861321
1_-42,-4.286412628861321
1_-41,-4.286412628861321
1_-40,-4.286412628861321
1_-39,-4.286412628861321
1_-38,-4.286412628861321
1_-37,-4.286412628861321
1_-36,-4.286412628861321
1_-35,-4.286412628861321
1_-34,-4.286412628861321
1_-33,-4.286412628861321
1_-32,-4.286412628861321
1_-31,-4.286412628861321
1_-30,-4.286412628861321
1_-29,-4.286412628861321
1_-28,-4.286412628861321
1_-27,-4.286412628861321
1_-26,-4.286412628861321
1_-25,-4.286412628861321
1_-24,-4.286412628861321
1_-23,-4.286412628861321
1_-22,-4.286412628861321
1_-21,-4.286412628861321
1_-20,-4.286412628861321
1_-19,-4.286412628861321
1_-18,-4.286412628861321
1_-17,-4.286412628861321
1_-16,-4.286412628861321
1_-15,-4.286412628861321
1_-14,-4.286412628861321
1_-13,-4.286412628861321
1_-12,-4.286412628861321
1_-11,-4.286412628861321
1_-10,-4.286412628861321
1_-9,-4.286412628861321
1_-8,-4.286412628861321
1_-7,-4.286412628861321
1_-6,-4.286412628861321
1_-5,-4.286412628861321
1_-4,-4.286412628861321
1_-3,-4.286412628861321
1_-2,-4.286412628861321
1_-1,-4.286412628861321
1_0,-4.286412628861321
1_1,-4.286412628861321
1_2,-4.286412628861321
1_3,-4.286412628861321
1_4,-4.286412628861321
1_5,-4.286412628861321
1_6,-4.286412628861321
1_7,-4.286412628861321
1_8,-4.286412628861321
1_9,-4.286412628861321
1_10,-4.286412628861321
1_11,-4.286412628861321
1_12,-4.286412628861321
1_13,-4.286412628861321
1_14,-4.286412628861321
1_15,-4.286412628861321
1_16,-4.286412628861321
1_17,-4.286412628861321
1_18,-4.286412628861321
1_19,-4.286412628861321
1_20,-4.286412628861321
1_21,-4.286412628861321
1_22,-4.286412628861321
1_23,-4.286412628861321
1_24,-4.286412628861321
1_25,-4.286412628861321
1_26,-4.286412628861321
1_27,-4.286412628861321
1_28,-4.286412628861321
1_29,-4.286412628861321
1_30,-4.286412628861321
1_31,-4.286412628861321
1_32,-4.286412628861321
1_33,-4.286412628861321
1_34,-4.286412628861321
1_35,-4.286412628861321
1_36,-4.286412628861321
1_37,-4.286412628861321
1_38,-4.286412628861321
1_39,-4.286412628861321
1_40,-4.286412628861321
1_41,-4.286412628861321
1_42,-4.286412628861321
1_43,-4.286412628861321
1_44,-4.286412628861321
1_45,-4.286412628861321
1_46,-4.286412628861321
1_47,-4.286412628861321
1_48,-4.286412628861321
1_49,-4.286412628861321
1_50,-4.286412628861321
1_51,-4.286412628861321
1_52,-4.286412628861321
1_53,-4.286412628861321
1_54,-4.286412628861321
1_55,-4.286412628861321
1_56,-4.286412628861321
1_57,-4.286412628861321
1_58,-4.286412628861321
1_59,-4.286412628861321
1_60,-4.286412628861321
1_61,-4.286412628861321
1_62,-4.286412628861321
1_63,-4.286412628861321
1_64,-4.286412628861321
1_65,-4.286412628861321
1_66,-4.286412628861321
1_67,-4.286412628861321
1_68,-4.286412628861321
1_69,-4.286412628861321
1_70,-4.286412628861321
1_71,-4.286412628861321
1_72,-4.286412628861321
1_73,-4.286412628861321
1_74,-4.286412628861321
1_75,-4.286412628861321
1_76,-4.286412628861321
1_77,-4.286412628861321
1_78,-4.286412628861321
1_79,-4.286412628861321
1_80,-4.286412628861321
2_-80,-5.598264425997039
2_-79,-5.598264425997039
2_-78,-5.598264425997039
2_-77,-5.598264425997039
2_-76,-5.598264425997039
2_-75,-5.598264425997039
2_-74,-5.598264425997039
2_-73,-5.598264425997039
2_-72,-5.598264425997039
2_-71,-5.598264425997039
2_-70,-5.598264425997039
2_-69,-5.598264425997039
2_-68,-5.598264425997039
2_-67,-5.598264425997039
2_-66,-5.598264425997039
2_-65,-5.598264425997039
2_-64,-5.598264425997039
2_-63,-5.598264425997039
2_-62,-5.598264425997039
2_-61,-5.598264425997039
2_-60,-5.598264425997039
2_-59,-5.598264425997039
2_-58,-5.598264425997039
2_-57,-5.598264425997039
2_-56,-5.598264425997039
2_-55,-5.598264425997039
2_-54,-5.598264425997039
2_-53,-5.598264425997039
2_-52,-5.598264425997039
2_-51,-5.598264425997039
2_-50,-5.598264425997039
2_-49,-5.598264425997039
2_-48,-5.598264425997039
2_-47,-5.598264425997039
2_-46,-5.598264425997039
2_-45,-5.598264425997039
2_-44,-5.598264425997039
2_-43,-5.598264425997039
2_-42,-5.598264425997039
2_-41,-5.598264425997039
2_-40,-5.598264425997039
2_-39,-5.598264425997039
2_-38,-5.598264425997039
2_-37,-5.598264425997039
2_-36,-5.598264425997039
2_-35,-5.598264425997039
2_-34,-5.598264425997039
2_-33,-5.598264425997039
2_-32,-5.598264425997039
2_-31,-5.598264425997039
2_-30,-5.598264425997039
2_-29,-5.598264425997039
2_-28,-5.598264425997039
2_-27,-5.598264425997039
2_-26,-5.598264425997039
2_-25,-5.598264425997039
2_-24,-5.598264425997039
2_-23,-5.598264425997039
2_-22,-5.598264425997039
2_-21,-5.598264425997039
2_-20,-5.598264425997039
2_-19,-5.598264425997039
2_-18,-5.598264425997039
2_-17,-5.598264425997039
2_-16,-5.598264425997039
2_-15,-5.598264425997039
2_-14,-5.598264425997039
2_-13,-5.598264425997039
2_-12,-5.598264425997039
2_-11,-5.598264425997039
2_-10,-5.598264425997039
2_-9,-5.598264425997039
2_-8,-5.598264425997039
2_-7,-5.598264425997039
2_-6,-5.598264425997039
2_-5,-5.598264425997039
2_-4,-5.598264425997039
2_-3,-5.598264425997039
2_-2,-5.598264425997039
2_-1,-5.598264425997039
2_0,-5.598264425997039
2_1,-5.598264425997039
2_2,-5.598264425997039
2_3,-5.598264425997039
2_4,-5.598264425997039
2_5,-5.598264425997039
2_6,-5.598264425997039
2_7,-5.598264425997039
2_8,-5.598264425997039
2_9,-5.598264425997039
2_10,-5.598264425997039
2_11,-5.598264425997039
2_12,-5.598264425997039
2_13,-5.598264425997039
2_14,-5.598264425997039
2_15,-5.598264425997039
2_16,-5.598264425997039
2_17,-5.598264425997039
2_18,-5.598264425997039
2_19,-5.598264425997039
2_20,-5.598264425997039
2_21,-5.598264425997039
2_22,-5.598264425997039
2_23,-5.598264425997039
2_24,-5.598264425997039
2_25,-5.598264425997039
2_26,-5.598264425997039
2_27,-5.598264425997039
2_28,-5.598264425997039
2_29,-5.598264425997039
2_30,-5.598264425997039
2_31,-5.598264425997039
2_32,-5.598264425997039
2_33,-5.598264425997039
2_34,-5.598264425997039
2_35,-5.598264425997039
2_36,-5.598264425997039
2_37,-5.598264425997039
2_38,-5.598264425997039
2_39,-5.598264425997039
2_40,-5.598264425997039
2_41,-5.598264425997039
2_42,-5.598264425997039
2_43,-5.598264425997039
2_44,-5.598264425997039
2_45,-5.598264425997039
2_46,-5.598264425997039
2_47,-5.598264425997039
2_48,-5.598264425997039
2_49,-5.598264425997039
2_50,-5.598264425997039
2_51,-5.598264425997039
2_52,-5.598264425997039
2_53,-5.598264425997039
2_54,-5.598264425997039
2_55,-5.598264425997039
2_56,-5.598264425997039
2_57,-5.598264425997039
2_58,-5.598264425997039
2_59,-5.598264425997039
2_60,-5.598264425997039
2_61,-5.598264425997039
2_62,-5.598264425997039
2_63,-5.598264425997039
2_64,-5.598264425997039
2_65,-5.598264425997039
