,0
0_-80,-14.0166808281691
0_-79,-15.12872062370763
0_-78,-16.24076041924616
0_-77,-17.352800214784693
0_-76,-18.464840010323222
0_-75,-19.57687980586175
0_-74,-20.688919601400283
0_-73,-21.80095939693881
0_-72,-22.91299919247734
0_-71,-24.025038988015872
0_-70,-25.1370787835544
0_-69,-25.552866384254543
0_-68,-25.96865398495468
0_-67,-26.38444158565482
0_-66,-26.80022918635496
0_-65,-27.2160167870551
0_-64,-27.631804387755242
0_-63,-28.04759198845538
0_-62,-28.463379589155522
0_-61,-28.87916718985566
0_-60,-29.2949547905558
0_-59,-29.88641506826206
0_-58,-30.47787534596832
0_-57,-31.069335623674583
0_-56,-31.66079590138084
0_-55,-32.2522561790871
0_-54,-32.84371645679336
0_-53,-33.43517673449962
0_-52,-34.02663701220588
0_-51,-34.618097289912136
0_-50,-35.2095575676184
0_-49,-36.59293198065894
0_-48,-37.976306393699474
0_-47,-39.35968080674002
0_-46,-40.74305521978056
0_-45,-42.1264296328211
0_-44,-43.50980404586164
0_-43,-44.893178458902185
0_-42,-46.27655287194272
0_-41,-47.659927284983254
0_-40,-49.0433016980238
0_-39,-48.64380549110264
0_-38,-48.24430928418148
0_-37,-47.844813077260326
0_-36,-47.44531687033917
0_-35,-47.045820663418
0_-34,-46.64632445649684
0_-33,-46.246828249575685
0_-32,-45.84733204265453
0_-31,-45.44783583573336
0_-30,-45.0483396288122
0_-29,-44.57168518740658
0_-28,-44.095030746000965
0_-27,-43.618376304595344
0_-26,-43.14172186318973
0_-25,-42.6650674217841
0_-24,-42.18841298037849
0_-23,-41.711758538972866
0_-22,-41.235104097567245
0_-21,-40.75844965616162
0_-20,-40.281795214756
0_-19,-40.371444627368746
0_-18,-40.46109403998148
0_-17,-40.550743452594226
0_-16,-40.64039286520696
0_-15,-40.730042277819706
0_-14,-40.81969169043245
0_-13,-40.909341103045186
0_-12,-40.99899051565792
0_-11,-41.088639928270666
0_-10,-41.1782893408834
0_-9,-41.592783831456686
0_-8,-42.00727832202996
0_-7,-42.42177281260325
0_-6,-42.83626730317653
0_-5,-43.2507617937498
0_-4,-43.665256284323085
0_-3,-44.07975077489637
0_-2,-44.494245265469644
0_-1,-44.90873975604292
0_0,-45.3232342466162
0_1,-45.281381799772674
0_2,-45.23952935292915
0_3,-45.19767690608562
0_4,-45.15582445924208
0_5,-45.11397201239855
0_6,-45.07211956555503
0_7,-45.03026711871149
0_8,-44.988414671867965
0_9,-44.94656222502443
0_10,-44.9047097781809
0_11,-44.18495776675327
0_12,-43.46520575532565
0_13,-42.74545374389802
0_14,-42.02570173247039
0_15,-41.30594972104275
0_16,-40.58619770961513
0_17,-39.8664456981875
0_18,-39.14669368675986
0_19,-38.42694167533223
0_20,-37.7071896639046
0_21,-38.07147410154155
0_22,-38.4357585391785
0_23,-38.800042976815455
0_24,-39.16432741445241
0_25,-39.528611852089355
0_26,-39.89289628972631
0_27,-40.257180727363256
0_28,-40.62146516500021
0_29,-40.985749602637156
0_30,-41.3500340402741
0_31,-41.189545151977725
0_32,-41.02905626368135
0_33,-40.86856737538497
0_34,-40.708078487088585
0_35,-40.5475895987922
0_36,-40.38710071049583
0_37,-40.226611822199445
0_38,-40.06612293390306
0_39,-39.905634045606675
0_40,-39.7451451573103
0_41,-39.38850199869986
0_42,-39.03185884008942
0_43,-38.67521568147898
0_44,-38.31857252286854
0_45,-37.9619293642581
0_46,-37.60528620564766
0_47,-37.24864304703722
0_48,-36.89199988842678
0_49,-36.535356729816336
0_50,-36.1787135712059
0_51,-35.51968214582662
0_52,-34.86065072044736
0_53,-34.20161929506809
0_54,-33.542587869688816
0_55,-32.88355644430955
0_56,-32.22452501893028
0_57,-31.56549359355101
0_58,-30.90646216817174
0_59,-30.247430742792467
0_60,-29.5883993174132
0_61,-29.122159170802508
0_62,-28.655919024191817
0_63,-28.189678877581134
0_64,-27.723438730970443
0_65,-27.25719858435975
0_66,-26.79095843774906
0_67,-26.324718291138375
0_68,-25.85847814452768
0_69,-25.39223799791699
0_70,-24.9259978513063
0_71,-23.85265396185944
0_72,-22.77931007241258
0_73,-21.705966182965724
0_74,-20.632622293518864
0_75,-19.559278404072
0_76,-18.485934514625143
0_77,-17.412590625178282
0_78,-16.33924673573142
0_79,-15.265902846284561
0_80,-14.1925589568377
1_-80,-14.1402460635239
1_-79,-15.23567486173598
1_-78,-16.33110365994806
1_-77,-17.426532458160143
1_-76,-18.521961256372222
1_-75,-19.6173900545843
1_-74,-20.71281885279638
1_-73,-21.808247651008465
1_-72,-22.90367644922054
1_-71,-23.99910524743262
1_-70,-25.0945340456447
1_-69,-25.801225413721376
1_-68,-26.50791678179805
1_-67,-27.214608149874724
1_-66,-27.921299517951404
1_-65,-28.627990886028073
1_-64,-29.334682254104752
1_-63,-30.041373622181425
1_-62,-30.7480649902581
1_-61,-31.454756358334777
1_-60,-32.16144772641145
1_-59,-32.833785083203814
1_-58,-33.50612243999618
1_-57,-34.178459796788545
1_-56,-34.85079715358091
1_-55,-35.523134510373275
1_-54,-36.19547186716564
1_-53,-36.867809223958005
1_-52,-37.540146580750374
1_-51,-38.21248393754273
1_-50,-38.8848212943351
1_-49,-39.497565562402315
1_-48,-40.110309830469525
1_-47,-40.72305409853675
1_-46,-41.33579836660396
1_-45,-41.94854263467118
1_-44,-42.561286902738395
1_-43,-43.174031170805605
1_-42,-43.78677543887282
1_-41,-44.39951970694003
1_-40,-45.012263975007244
1_-39,-44.74194708932111
1_-38,-44.47163020363498
1_-37,-44.201313317948845
1_-36,-43.93099643226272
1_-35,-43.660679546576574
1_-34,-43.390362660890446
1_-33,-43.12004577520431
1_-32,-42.849728889518175
1_-31,-42.57941200383203
1_-30,-42.309095118145905
1_-29,-42.515073595137316
1_-28,-42.72105207212874
