,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160
0,[-14.01668083],[-15.12872062],[-16.24076042],[-17.35280021],[-18.46484001],[-19.57687981],[-20.6889196],[-21.8009594],[-22.91299919],[-24.02503899],[-25.13707878],[-25.55286638],[-25.96865398],[-26.38444159],[-26.80022919],[-27.21601679],[-27.63180439],[-28.04759199],[-28.46337959],[-28.87916719],[-29.29495479],[-29.88641507],[-30.47787535],[-31.06933562],[-31.6607959],[-32.25225618],[-32.84371646],[-33.43517673],[-34.02663701],[-34.61809729],[-35.20955757],[-36.59293198],[-37.97630639],[-39.35968081],[-40.74305522],[-42.12642963],[-43.50980405],[-44.89317846],[-46.27655287],[-47.65992728],[-49.0433017],[-48.64380549],[-48.24430928],[-47.84481308],[-47.44531687],[-47.04582066],[-46.64632446],[-46.24682825],[-45.84733204],[-45.44783584],[-45.04833963],[-44.57168519],[-44.09503075],[-43.6183763],[-43.14172186],[-42.66506742],[-42.18841298],[-41.71175854],[-41.2351041],[-40.75844966],[-40.28179521],[-40.37144463],[-40.46109404],[-40.55074345],[-40.64039287],[-40.73004228],[-40.81969169],[-40.9093411],[-40.99899052],[-41.08863993],[-41.17828934],[-41.59278383],[-42.00727832],[-42.42177281],[-42.8362673],[-43.25076179],[-43.66525628],[-44.07975077],[-44.49424527],[-44.90873976],[-45.32323425],[-45.2813818],[-45.23952935],[-45.19767691],[-45.15582446],[-45.11397201],[-45.07211957],[-45.03026712],[-44.98841467],[-44.94656223],[-44.90470978],[-44.18495777],[-43.46520576],[-42.74545374],[-42.02570173],[-41.30594972],[-40.58619771],[-39.8664457],[-39.14669369],[-38.42694168],[-37.70718966],[-38.0714741],[-38.43575854],[-38.80004298],[-39.16432741],[-39.52861185],[-39.89289629],[-40.25718073],[-40.62146517],[-40.9857496],[-41.35003404],[-41.18954515],[-41.02905626],[-40.86856738],[-40.70807849],[-40.5475896],[-40.38710071],[-40.22661182],[-40.06612293],[-39.90563405],[-39.74514516],[-39.388502],[-39.03185884],[-38.67521568],[-38.31857252],[-37.96192936],[-37.60528621],[-37.24864305],[-36.89199989],[-36.53535673],[-36.17871357],[-35.51968215],[-34.86065072],[-34.2016193],[-33.54258787],[-32.88355644],[-32.22452502],[-31.56549359],[-30.90646217],[-30.24743074],[-29.58839932],[-29.12215917],[-28.65591902],[-28.18967888],[-27.72343873],[-27.25719858],[-26.79095844],[-26.32471829],[-25.85847814],[-25.392238],[-24.92599785],[-23.85265396],[-22.77931007],[-21.70596618],[-20.63262229],[-19.5592784],[-18.48593451],[-17.41259063],[-16.33924674],[-15.26590285],[-14.19255896]
1,[-14.14024606],[-15.23567486],[-16.33110366],[-17.42653246],[-18.52196126],[-19.61739005],[-20.71281885],[-21.80824765],[-22.90367645],[-23.99910525],[-25.09453405],[-25.80122541],[-26.50791678],[-27.21460815],[-27.92129952],[-28.62799089],[-29.33468225],[-30.04137362],[-30.74806499],[-31.45475636],[-32.16144773],[-32.83378508],[-33.50612244],[-34.1784598],[-34.85079715],[-35.52313451],[-36.19547187],[-36.86780922],[-37.54014658],[-38.21248394],[-38.88482129],[-39.49756556],[-40.11030983],[-40.7230541],[-41.33579837],[-41.94854263],[-42.5612869],[-43.17403117],[-43.78677544],[-44.39951971],[-45.01226398],[-44.74194709],[-44.4716302],[-44.20131332],[-43.93099643],[-43.66067955],[-43.39036266],[-43.12004578],[-42.84972889],[-42.579412],[-42.30909512],[-42.5150736],[-42.72105207],[-42.92703055],[-43.13300903],[-43.3389875],[-43.54496598],[-43.75094446],[-43.95692293],[-44.16290141],[-44.36887989],[-44.30832026],[-44.24776063],[-44.187201],[-44.12664136],[-44.06608173],[-44.0055221],[-43.94496247],[-43.88440284],[-43.82384321],[-43.76328358],[-43.78570843],[-43.80813329],[-43.83055814],[-43.85298299],[-43.87540785],[-43.8978327],[-43.92025755],[-43.94268241],[-43.96510726],[-43.98753211],[-43.99246533],[-43.99739854],[-44.00233175],[-44.00726496],[-44.01219817],[-44.01713138],[-44.0220646],[-44.02699781],[-44.03193102],[-44.03686423],[-43.64548626],[-43.25410828],[-42.86273031],[-42.47135234],[-42.07997436],[-41.68859639],[-41.29721842],[-40.90584044],[-40.51446247],[-40.1230845],[-40.41679906],[-40.71051362],[-41.00422818],[-41.29794274],[-41.5916573],[-41.88537187],[-42.17908643],[-42.47280099],[-42.76651555],[-43.06023011],[-42.58102121],[-42.1018123],[-41.6226034],[-41.14339449],[-40.66418559],[-40.18497669],[-39.70576778],[-39.22655888],[-38.74734997],[-38.26814107],[-38.13685272],[-38.00556438],[-37.87427603],[-37.74298769],[-37.61169934],[-37.480411],[-37.34912265],[-37.21783431],[-37.08654596],[-36.95525762],[-36.33564374],[-35.71602987],[-35.096416],[-34.47680213],[-33.85718826],[-33.23757439],[-32.61796051],[-31.99834664],[-31.37873277],[-30.7591189],[-30.01689968],[-29.27468046],[-28.53246124],[-27.79024201],[-27.04802279],[-26.30580357],[-25.56358435],[-24.82136513],[-24.07914591],[-23.33692669],[-22.45100248],[-21.56507828],[-20.67915408],[-19.79322988],[-18.90730568],[-18.02138147],[-17.13545727],[-16.24953307],[-15.36360887],[-14.47768467]
2,[-14.2638113],[-15.3426291],[-16.4214469],[-17.5002647],[-18.5790825],[-19.6579003],[-20.7367181],[-21.81553591],[-22.89435371],[-23.97317151],[-25.05198931],[-26.04958444],[-27.04717958],[-28.04477471],[-29.04236985],[-30.03996499],[-31.03756012],[-32.03515526],[-33.03275039],[-34.03034553],[-35.02794066],[-35.7811551],[-36.53436953],[-37.28758397],[-38.04079841],[-38.79401284],[-39.54722728],[-40.30044171],[-41.05365615],[-41.80687059],[-42.56008502],[-42.40219914],[-42.24431327],[-42.08642739],[-41.92854151],[-41.77065564],[-41.61276976],[-41.45488388],[-41.29699801],[-41.13911213],[-40.98122625],[-40.84008869],[-40.69895112],[-40.55781356],[-40.41667599],[-40.27553843],[-40.13440087],[-39.9932633],[-39.85212574],[-39.71098817],[-39.56985061],[-40.458462],[-41.3470734],[-42.23568479],[-43.12429619],[-44.01290758],[-44.90151898],[-45.79013038],[-46.67874177],[-47.56735317],[-48.45596456],[-48.24519589],[-48.03442721],[-47.82365854],[-47.61288986],[-47.40212119],[-47.19135251],[-46.98058384],[-46.76981517],[-46.55904649],[-46.34827782],[-45.97863303],[-45.60898825],[-45.23934347],[-44.86969868],[-44.5000539],[-44.13040912],[-43.76076433],[-43.39111955],[-43.02147477],[-42.65182998],[-42.70354885],[-42.75526772],[-42.80698659],[-42.85870546],[-42.91042433],[-42.9621432],[-43.01386207],[-43.06558094],[-43.11729981],[-43.16901868],[-43.10601475],[-43.04301081],[-42.98000688],[-42.91700294],[-42.853999],[-42.79099507],[-42.72799113],[-42.6649872],[-42.60198326],[-42.53897933],[-42.76212401],[-42.9852687],[-43.20841338],[-43.43155807],[-43.65470276],[-43.87784744],[-44.10099213],[-44.32413681],[-44.5472815],[-44.77042618],[-43.97249726],[-43.17456834],[-42.37663942],[-41.5787105],[-40.78078158],[-39.98285266],[-39.18492374],[-38.38699482],[-37.5890659],[-36.79113698],[-36.88520345],[-36.97926991],[-37.07333638],[-37.16740285],[-37.26146932],[-37.35553579],[-37.44960226],[-37.54366872],[-37.63773519],[-37.73180166],[-37.15160534],[-36.57140902],[-35.99121271],[-35.41101639],[-34.83082007],[-34.25062375],[-33.67042744],[-33.09023112],[-32.5100348],[-31.92983848],[-30.91164019],[-29.89344189],[-28.87524359],[-27.8570453],[-26.838847],[-25.82064871],[-24.80245041],[-23.78425211],[-22.76605382],[-21.74785552],[-21.04935101],[-20.35084649],[-19.65234198],[-18.95383746],[-18.25533295],[-17.55682843],[-16.85832392],[-16.1598194],[-15.46131489],[-14.76281037]
3,[-14.51597341],[-15.53121676],[-16.5464601],[-17.56170345],[-18.57694679],[-19.59219013],[-20.60743348],[-21.62267682],[-22.63792016],[-23.65316351],[-24.66840685],[-25.47503129],[-26.28165574],[-27.08828018],[-27.89490462],[-28.70152907],[-29.50815351],[-30.31477795],[-31.1214024],[-31.92802684],[-32.73465128],[-33.42140512],[-34.10815897],[-34.79491281],[-35.48166665],[-36.16842049],[-36.85517433],[-37.54192817],[-38.22868201],[-38.91543585],[-39.60218969],[-39.85198569],[-40.10178168],[-40.35157768],[-40.60137368],[-40.85116967],[-41.10096567],[-41.35076167],[-41.60055766],[-41.85035366],[-42.10014966],[-41.90176511],[-41.70338056],[-41.50499602],[-41.30661147],[-41.10822693],[-40.90984238],[-40.71145784],[-40.51307329],[-40.31468874],[-40.1163042],[-40.67292434],[-41.22954448],[-41.78616462],[-42.34278476],[-42.89940491],[-43.45602505],[-44.01264519],[-44.56926533],[-45.12588547],[-45.68250561],[-45.57988448],[-45.47726335],[-45.37464222],[-45.27202109],[-45.16939997],[-45.06677884],[-44.96415771],[-44.86153658],[-44.75891545],[-44.65629432],[-44.40456702],[-44.15283972],[-43.90111242],[-43.64938512],[-43.39765782],[-43.14593053],[-42.89420323],[-42.64247593],[-42.39074863],[-42.13902133],[-42.87623679],[-43.61345225],[-44.3506677],[-45.08788316],[-45.82509862],[-46.56231408],[-47.29952953],[-48.03674499],[-48.77396045],[-49.51117591],[-49.37887266],[-49.24656941],[-49.11426617],[-48.98196292],[-48.84965967],[-48.71735643],[-48.58505318],[-48.45274993],[-48.32044668],[-48.18814344],[-47.5984886],[-47.00883375],[-46.41917891],[-45.82952407],[-45.23986923],[-44.65021439],[-44.06055955],[-43.47090471],[-42.88124986],[-42.29159502],[-41.79833912],[-41.30508322],[-40.81182731],[-40.31857141],[-39.82531551],[-39.33205961],[-38.8388037],[-38.3455478],[-37.8522919],[-37.35903599],[-37.39925423],[-37.43947247],[-37.4796907],[-37.51990894],[-37.56012718],[-37.60034541],[-37.64056365],[-37.68078188],[-37.72100012],[-37.76121836],[-37.14797983],[-36.53474129],[-35.92150276],[-35.30826423],[-34.6950257],[-34.08178717],[-33.46854864],[-32.85531011],[-32.24207158],[-31.62883305],[-30.60378796],[-29.57874288],[-28.55369779],[-27.5286527],[-26.50360762],[-25.47856253],[-24.45351744],[-23.42847236],[-22.40342727],[-21.37838218],[-20.75239648],[-20.12641078],[-19.50042508],[-18.87443938],[-18.24845368],[-17.62246797],[-16.99648227],[-16.37049657],[-15.74451087],[-15.11852517]
4,[-14.76813553],[-15.71980442],[-16.6714733],[-17.62314219],[-18.57481107],[-19.52647996],[-20.47814885],[-21.42981773],[-22.38148662],[-23.33315551],[-24.28482439],[-24.90047814],[-25.51613189],[-26.13178565],[-26.7474394],[-27.36309315],[-27.9787469],[-28.59440065],[-29.2100544],[-29.82570815],[-30.44136191],[-31.06165515],[-31.6819484],[-32.30224164],[-32.92253489],[-33.54282813],[-34.16312138],[-34.78341462],[-35.40370787],[-36.02400112],[-36.64429436],[-37.30177223],[-37.9592501],[-38.61672797],[-39.27420584],[-39.93168371],[-40.58916158],[-41.24663945],[-41.90411732],[-42.56159519],[-43.21907306],[-42.96344153],[-42.70781001],[-42.45217848],[-42.19654695],[-41.94091542],[-41.6852839],[-41.42965237],[-41.17402084],[-40.91838932],[-40.66275779],[-40.88738668],[-41.11201557],[-41.33664445],[-41.56127334],[-41.78590223],[-42.01053112],[-42.23516],[-42.45978889],[-42.68441778],[-42.90904666],[-42.91457308],[-42.9200995],[-42.92562591],[-42.93115233],[-42.93667874],[-42.94220516],[-42.94773157],[-42.95325799],[-42.9587844],[-42.96431082],[-42.83050101],[-42.69669119],[-42.56288138],[-42.42907156],[-42.29526175],[-42.16145193],[-42.02764212],[-41.89383231],[-41.76002249],[-41.62621268],[-43.04892472],[-44.47163677],[-45.89434881],[-47.31706086],[-48.73977291],[-50.16248495],[-51.585197],[-53.00790904],[-54.43062109],[-55.85333313],[-55.65173057],[-55.45012802],[-55.24852546],[-55.0469229],[-54.84532034],[-54.64371778],[-54.44211522],[-54.24051266],[-54.03891011],[-53.83730755],[-52.43485318],[-51.03239881],[-49.62994444],[-48.22749007],[-46.82503571],[-45.42258134],[-44.02012697],[-42.6176726],[-41.21521823],[-39.81276386],[-39.62418098],[-39.43559809],[-39.24701521],[-39.05843232],[-38.86984944],[-38.68126655],[-38.49268367],[-38.30410078],[-38.11551789],[-37.92693501],[-37.91330501],[-37.89967502],[-37.88604502],[-37.87241503],[-37.85878503],[-37.84515504],[-37.83152504],[-37.81789504],[-37.80426505],[-37.79063505],[-37.14435431],[-36.49807356],[-35.85179282],[-35.20551208],[-34.55923133],[-33.91295059],[-33.26666985],[-32.6203891],[-31.97410836],[-31.32782761],[-30.29593574],[-29.26404386],[-28.23215198],[-27.20026011],[-26.16836823],[-25.13647635],[-24.10458448],[-23.0726926],[-22.04080072],[-21.00890884],[-20.45544196],[-19.90197507],[-19.34850818],[-18.79504129],[-18.2415744],[-17.68810752],[-17.13464063],[-16.58117374],[-16.02770685],[-15.47423996]
5,[-14.77514436],[-15.7590907],[-16.74303704],[-17.72698338],[-18.71092972],[-19.69487606],[-20.6788224],[-21.66276874],[-22.64671508],[-23.63066142],[-24.61460777],[-25.36420349],[-26.11379922],[-26.86339494],[-27.61299067],[-28.3625864],[-29.11218212],[-29.86177785],[-30.61137358],[-31.3609693],[-32.11056503],[-32.42676708],[-32.74296913],[-33.05917118],[-33.37537322],[-33.69157527],[-34.00777732],[-34.32397937],[-34.64018142],[-34.95638347],[-35.27258552],[-35.81863494],[-36.36468436],[-36.91073379],[-37.45678321],[-38.00283263],[-38.54888206],[-39.09493148],[-39.6409809],[-40.18703033],[-40.73307975],[-40.87148496],[-41.00989017],[-41.14829538],[-41.28670058],[-41.42510579],[-41.563511],[-41.70191621],[-41.84032142],[-41.97872663],[-42.11713183],[-42.14240577],[-42.16767971],[-42.19295365],[-42.21822759],[-42.24350152],[-42.26877546],[-42.2940494],[-42.31932334],[-42.34459728],[-42.36987121],[-42.50779609],[-42.64572097],[-42.78364585],[-42.92157073],[-43.0594956],[-43.19742048],[-43.33534536],[-43.47327024],[-43.61119512],[-43.74912],[-43.59212017],[-43.43512035],[-43.27812053],[-43.1211207],[-42.96412088],[-42.80712105],[-42.65012123],[-42.49312141],[-42.33612158],[-42.17912176],[-43.09061216],[-44.00210257],[-44.91359297],[-45.82508337],[-46.73657377],[-47.64806418],[-48.55955458],[-49.47104498],[-50.38253538],[-51.29402579],[-51.09858836],[-50.90315094],[-50.70771351],[-50.51227609],[-50.31683866],[-50.12140124],[-49.92596382],[-49.73052639],[-49.53508897],[-49.33965154],[-48.35999053],[-47.38032951],[-46.4006685],[-45.42100748],[-44.44134647],[-43.46168545],[-42.48202444],[-41.50236342],[-40.52270241],[-39.54304139],[-39.22209899],[-38.90115658],[-38.58021418],[-38.25927177],[-37.93832937],[-37.61738696],[-37.29644456],[-36.97550215],[-36.65455975],[-36.33361734],[-36.26443819],[-36.19525904],[-36.12607989],[-36.05690073],[-35.98772158],[-35.91854243],[-35.84936328],[-35.78018413],[-35.71100498],[-35.64182583],[-35.1635598],[-34.68529378],[-34.20702775],[-33.72876173],[-33.2504957],[-32.77222968],[-32.29396366],[-31.81569763],[-31.33743161],[-30.85916558],[-29.98465916],[-29.11015273],[-28.2356463],[-27.36113987],[-26.48663345],[-25.61212702],[-24.73762059],[-23.86311416],[-22.98860773],[-22.11410131],[-21.45399201],[-20.79388271],[-20.13377341],[-19.47366412],[-18.81355482],[-18.15344552],[-17.49333622],[-16.83322692],[-16.17311763],[-15.51300833]
6,[-14.78215318],[-15.79837698],[-16.81460077],[-17.83082457],[-18.84704837],[-19.86327216],[-20.87949596],[-21.89571975],[-22.91194355],[-23.92816734],[-24.94439114],[-25.82792884],[-26.71146654],[-27.59500424],[-28.47854194],[-29.36207964],[-30.24561735],[-31.12915505],[-32.01269275],[-32.89623045],[-33.77976815],[-33.791879],[-33.80398986],[-33.81610071],[-33.82821156],[-33.84032241],[-33.85243326],[-33.86454412],[-33.87665497],[-33.88876582],[-33.90087667],[-34.33549765],[-34.77011863],[-35.2047396],[-35.63936058],[-36.07398156],[-36.50860253],[-36.94322351],[-37.37784449],[-37.81246546],[-38.24708644],[-38.77952838],[-39.31197033],[-39.84441227],[-40.37685422],[-40.90929616],[-41.4417381],[-41.97418005],[-42.50662199],[-43.03906393],[-43.57150588],[-43.39742486],[-43.22334385],[-43.04926284],[-42.87518183],[-42.70110082],[-42.52701981],[-42.3529388],[-42.17885778],[-42.00477677],[-41.83069576],[-42.1010191],[-42.37134244],[-42.64166578],[-42.91198913],[-43.18231247],[-43.45263581],[-43.72295915],[-43.99328249],[-44.26360583],[-44.53392917],[-44.35373934],[-44.17354951],[-43.99335967],[-43.81316984],[-43.63298001],[-43.45279017],[-43.27260034],[-43.09241051],[-42.91222068],[-42.73203084],[-43.1322996],[-43.53256836],[-43.93283712],[-44.33310588],[-44.73337464],[-45.1336434],[-45.53391216],[-45.93418092],[-46.33444968],[-46.73471844],[-46.54544615],[-46.35617386],[-46.16690157],[-45.97762928],[-45.78835699],[-45.5990847],[-45.40981241],[-45.22054012],[-45.03126783],[-44.84199554],[-44.28512788],[-43.72826021],[-43.17139255],[-42.61452489],[-42.05765723],[-41.50078957],[-40.94392191],[-40.38705424],[-39.83018658],[-39.27331892],[-38.820017],[-38.36671507],[-37.91341315],[-37.46011122],[-37.0068093],[-36.55350737],[-36.10020545],[-35.64690352],[-35.1936016],[-34.74029967],[-34.61557136],[-34.49084306],[-34.36611475],[-34.24138644],[-34.11665813],[-33.99192983],[-33.86720152],[-33.74247321],[-33.61774491],[-33.4930166],[-33.18276529],[-32.87251399],[-32.56226268],[-32.25201138],[-31.94176008],[-31.63150877],[-31.32125747],[-31.01100616],[-30.70075486],[-30.39050355],[-29.67338258],[-28.9562616],[-28.23914062],[-27.52201964],[-26.80489866],[-26.08777768],[-25.3706567],[-24.65353573],[-23.93641475],[-23.21929377],[-22.45254206],[-21.68579035],[-20.91903865],[-20.15228694],[-19.38553523],[-18.61878352],[-17.85203182],[-17.08528011],[-16.3185284],[-15.55177669]
7,[-14.69112136],[-15.64791519],[-16.60470902],[-17.56150285],[-18.51829669],[-19.47509052],[-20.43188435],[-21.38867818],[-22.34547202],[-23.30226585],[-24.25905968],[-25.25911523],[-26.25917079],[-27.25922634],[-28.2592819],[-29.25933745],[-30.259393],[-31.25944856],[-32.25950411],[-33.25955967],[-34.25961522],[-34.34194335],[-34.42427148],[-34.50659961],[-34.58892774],[-34.67125587],[-34.753584],[-34.83591213],[-34.91824027],[-35.0005684],[-35.08289653],[-35.31108259],[-35.53926865],[-35.76745471],[-35.99564077],[-36.22382683],[-36.4520129],[-36.68019896],[-36.90838502],[-37.13657108],[-37.36475714],[-38.06628698],[-38.76781682],[-39.46934666],[-40.1708765],[-40.87240634],[-41.57393618],[-42.27546602],[-42.97699586],[-43.6785257],[-44.38005554],[-44.05082943],[-43.72160332],[-43.3923772],[-43.06315109],[-42.73392498],[-42.40469887],[-42.07547275],[-41.74624664],[-41.41702053],[-41.08779441],[-41.31433049],[-41.54086656],[-41.76740263],[-41.99393871],[-42.22047478],[-42.44701086],[-42.67354693],[-42.90008301],[-43.12661908],[-43.35315515],[-43.38324541],[-43.41333567],[-43.44342593],[-43.47351619],[-43.50360645],[-43.53369671],[-43.56378696],[-43.59387722],[-43.62396748],[-43.65405774],[-43.69240831],[-43.73075887],[-43.76910944],[-43.80746],[-43.84581056],[-43.88416113],[-43.92251169],[-43.96086226],[-43.99921282],[-44.03756339],[-43.74432527],[-43.45108716],[-43.15784905],[-42.86461093],[-42.57137282],[-42.2781347],[-41.98489659],[-41.69165847],[-41.39842036],[-41.10518225],[-41.59331919],[-42.08145614],[-42.56959308],[-43.05773003],[-43.54586697],[-44.03400392],[-44.52214087],[-45.01027781],[-45.49841476],[-45.9865517],[-45.14336554],[-44.30017939],[-43.45699323],[-42.61380707],[-41.77062091],[-40.92743475],[-40.08424859],[-39.24106243],[-38.39787628],[-37.55469012],[-37.13479875],[-36.71490737],[-36.295016],[-35.87512463],[-35.45523326],[-35.03534188],[-34.61545051],[-34.19555914],[-33.77566777],[-33.3557764],[-33.07538492],[-32.79499344],[-32.51460196],[-32.23421049],[-31.95381901],[-31.67342753],[-31.39303606],[-31.11264458],[-30.8322531],[-30.55186163],[-29.82660898],[-29.10135633],[-28.37610368],[-27.65085103],[-26.92559838],[-26.20034573],[-25.47509308],[-24.74984043],[-24.02458778],[-23.29933513],[-22.51361707],[-21.72789901],[-20.94218095],[-20.1564629],[-19.37074484],[-18.58502678],[-17.79930872],[-17.01359067],[-16.22787261],[-15.44215455]
8,[-14.60008953],[-15.4974534],[-16.39481727],[-17.29218114],[-18.18954501],[-19.08690888],[-19.98427275],[-20.88163662],[-21.77900048],[-22.67636435],[-23.57372822],[-24.69030163],[-25.80687504],[-26.92344844],[-28.04002185],[-29.15659525],[-30.27316866],[-31.38974207],[-32.50631547],[-33.62288888],[-34.73946229],[-34.8920077],[-35.04455311],[-35.19709851],[-35.34964392],[-35.50218933],[-35.65473474],[-35.80728015],[-35.95982556],[-36.11237097],[-36.26491638],[-36.28666753],[-36.30841867],[-36.33016982],[-36.35192097],[-36.37367211],[-36.39542326],[-36.4171744],[-36.43892555],[-36.4606767],[-36.48242784],[-37.35304558],[-38.22366332],[-39.09428105],[-39.96489879],[-40.83551653],[-41.70613426],[-42.576752],[-43.44736974],[-44.31798748],[-45.18860521],[-44.704234],[-44.21986278],[-43.73549157],[-43.25112035],[-42.76674914],[-42.28237792],[-41.79800671],[-41.31363549],[-40.82926428],[-40.34489306],[-40.52764187],[-40.71039068],[-40.89313948],[-41.07588829],[-41.2586371],[-41.44138591],[-41.62413471],[-41.80688352],[-41.98963233],[-42.17238113],[-42.41275148],[-42.65312184],[-42.89349219],[-43.13386254],[-43.37423289],[-43.61460324],[-43.85497359],[-44.09534394],[-44.33571429],[-44.57608464],[-44.25251701],[-43.92894938],[-43.60538175],[-43.28181412],[-42.95824649],[-42.63467886],[-42.31111123],[-41.9875436],[-41.66397597],[-41.34040833],[-40.9432044],[-40.54600046],[-40.14879652],[-39.75159258],[-39.35438865],[-38.95718471],[-38.55998077],[-38.16277683],[-37.76557289],[-37.36836896],[-38.90151051],[-40.43465206],[-41.96779361],[-43.50093517],[-45.03407672],[-46.56721827],[-48.10035982],[-49.63350138],[-51.16664293],[-52.69978448],[-51.46671409],[-50.2336437],[-49.00057331],[-47.76750292],[-46.53443252],[-45.30136213],[-44.06829174],[-42.83522135],[-41.60215096],[-40.36908056],[-39.65402613],[-38.93897169],[-38.22391725],[-37.50886282],[-36.79380838],[-36.07875394],[-35.3636995],[-34.64864507],[-33.93359063],[-33.21853619],[-32.96800454],[-32.71747289],[-32.46694124],[-32.2164096],[-31.96587795],[-31.7153463],[-31.46481465],[-31.214283],[-30.96375135],[-30.7132197],[-29.97983538],[-29.24645106],[-28.51306674],[-27.77968241],[-27.04629809],[-26.31291377],[-25.57952945],[-24.84614513],[-24.11276081],[-23.37937649],[-22.57469208],[-21.77000767],[-20.96532326],[-20.16063885],[-19.35595445],[-18.55127004],[-17.74658563],[-16.94190122],[-16.13721681],[-15.33253241]
9,[-14.53581793],[-15.36040896],[-16.18499998],[-17.009591],[-17.83418202],[-18.65877305],[-19.48336407],[-20.30795509],[-21.13254612],[-21.95713714],[-22.78172816],[-23.65375302],[-24.52577788],[-25.39780273],[-26.26982759],[-27.14185244],[-28.0138773],[-28.88590216],[-29.75792701],[-30.62995187],[-31.50197672],[-31.79521434],[-32.08845195],[-32.38168957],[-32.67492718],[-32.9681648],[-33.26140241],[-33.55464003],[-33.84787764],[-34.14111526],[-34.43435287],[-34.64223198],[-34.85011109],[-35.0579902],[-35.26586931],[-35.47374842],[-35.68162753],[-35.88950664],[-36.09738574],[-36.30526485],[-36.51314396],[-37.12837968],[-37.7436154],[-38.35885112],[-38.97408683],[-39.58932255],[-40.20455827],[-40.81979399],[-41.4350297],[-42.05026542],[-42.66550114],[-42.50542256],[-42.34534397],[-42.18526539],[-42.0251868],[-41.86510822],[-41.70502963],[-41.54495105],[-41.38487247],[-41.22479388],[-41.0647153],[-41.19329799],[-41.32188068],[-41.45046337],[-41.57904606],[-41.70762875],[-41.83621143],[-41.96479412],[-42.09337681],[-42.2219595],[-42.35054219],[-42.5267063],[-42.7028704],[-42.8790345],[-43.05519861],[-43.23136271],[-43.40752681],[-43.58369091],[-43.75985502],[-43.93601912],[-44.11218322],[-43.900694],[-43.68920478],[-43.47771555],[-43.26622633],[-43.05473711],[-42.84324788],[-42.63175866],[-42.42026944],[-42.20878021],[-41.99729099],[-41.6747053],[-41.3521196],[-41.0295339],[-40.70694821],[-40.38436251],[-40.06177682],[-39.73919112],[-39.41660543],[-39.09401973],[-38.77143404],[-39.65442474],[-40.53741544],[-41.42040614],[-42.30339685],[-43.18638755],[-44.06937825],[-44.95236895],[-45.83535966],[-46.71835036],[-47.60134106],[-46.75426336],[-45.90718565],[-45.06010795],[-44.21303024],[-43.36595254],[-42.51887483],[-41.67179713],[-40.82471942],[-39.97764172],[-39.13056401],[-38.62676893],[-38.12297386],[-37.61917878],[-37.1153837],[-36.61158863],[-36.10779355],[-35.60399847],[-35.10020339],[-34.59640832],[-34.09261324],[-33.90332582],[-33.7140384],[-33.52475097],[-33.33546355],[-33.14617613],[-32.95688871],[-32.76760128],[-32.57831386],[-32.38902644],[-32.19973902],[-31.25686422],[-30.31398942],[-29.37111462],[-28.42823982],[-27.48536503],[-26.54249023],[-25.59961543],[-24.65674063],[-23.71386584],[-22.77099104],[-22.01753615],[-21.26408127],[-20.51062638],[-19.7571715],[-19.00371661],[-18.25026173],[-17.49680684],[-16.74335195],[-15.98989707],[-15.23644218]
