x,y,z,radius
400,300,0,50
438,511,0,11
180,697,0,25
479,271,0,40
626,383,0,28
97,683,0,14
227,-64,0,34
-156,163,0,39
740,-50,0,19
-148,-199,0,38
326,616,0,27
-144,374,0,23
297,68,0,40
781,626,0,24
717,183,0,11
773,-322,0,12
466,-348,0,29
660,332,0,17
316,-222,0,16
104,138,0,35
-59,762,0,24
-164,-186,0,20
690,652,0,13
267,778,0,19
-95,771,0,20
756,66,0,40
770,239,0,24
-163,438,0,20
145,244,0,15
37,32,0,11
182,625,0,12
-167,-84,0,38
-44,-271,0,36
-186,757,0,31
451,724,0,18
718,132,0,37
90,508,0,28
213,572,0,25
381,-182,0,20
-114,646,0,28
336,39,0,17
-317,205,0,13
101,411,0,35
-1,331,0,23
-223,-144,0,35
-51,98,0,11
744,-199,0,10
-96,36,0,29
-105,451,0,12
408,-113,0,11
-306,48,0,40
28,-97,0,25
81,-225,0,39
-304,764,0,23
-143,182,0,12
102,-203,0,30
266,367,0,23
19,-225,0,26
606,-270,0,29
-144,451,0,16
182,384,0,38
613,-4,0,32
66,-232,0,35
734,163,0,13
555,8,0,10
615,489,0,38
691,287,0,30
381,445,0,36
163,-36,0,27
-325,587,0,33
-189,337,0,33
-257,764,0,18
-74,141,0,34
636,371,0,29
239,385,0,28
-79,285,0,22
498,-185,0,10
43,334,0,15
140,106,0,30
567,425,0,32
498,-286,0,22
506,-255,0,15
562,-220,0,18
-28,564,0,26
647,799,0,29
-350,-271,0,25
317,289,0,36
606,-248,0,35
500,35,0,27
-180,-83,0,10
472,505,0,20
-344,87,0,10
-346,732,0,29
-150,40,0,13
56,269,0,18
23,-145,0,25
462,-184,0,10
212,577,0,35
-113,175,0,14
716,360,0,13
-34,220,0,37
-312,-264,0,11
71,181,0,27
294,401,0,40
-264,662,0,32
589,541,0,21
751,15,0,16
419,246,0,10
-67,-41,0,18
332,341,0,35
402,-159,0,20
-277,-266,0,18
242,389,0,22
773,-85,0,19
-115,629,0,33
140,-252,0,19
17,721,0,33
-205,269,0,22
322,262,0,23
-128,-147,0,27
635,620,0,20
353,-96,0,25
-113,669,0,23
-273,268,0,20
419,-172,0,12
-177,55,0,33
102,-225,0,22
-334,-150,0,22
789,712,0,19
568,650,0,35
94,516,0,12
404,100,0,18
-9,533,0,16
384,-115,0,12
-294,726,0,24
63,-107,0,25
465,175,0,16
-264,92,0,29
-51,-136,0,16
588,424,0,21
769,-41,0,13
649,-47,0,28
481,516,0,38
717,664,0,31
310,670,0,25
63,761,0,29
98,-331,0,20
301,309,0,11
725,-47,0,37
176,-31,0,36
426,252,0,32
613,-215,0,35
-177,707,0,37
-270,-215,0,17
-83,-267,0,19
-319,568,0,20
593,410,0,26
432,735,0,26
-282,-165,0,31
710,-194,0,33
523,72,0,19
746,505,0,36
637,445,0,29
128,-309,0,31
-350,22,0,19
688,171,0,20
-216,660,0,37
186,270,0,34
485,436,0,35
435,-223,0,15
-90,139,0,19
334,-237,0,40
-277,635,0,23
-62,657,0,38
-183,-40,0,35
372,492,0,11
604,441,0,24
-254,-143,0,25
-40,-309,0,11
-79,313,0,13
774,359,0,16
435,654,0,13
-227,606,0,29
341,-96,0,31
256,-90,0,40
443,251,0,39
-102,712,0,37
37,-272,0,35
452,560,0,21
40,582,0,21
-196,-259,0,38
-269,645,0,18
-296,715,0,31
92,120,0,12
678,722,0,23
688,275,0,40
-118,-52,0,23
