x,y,z,theta_dg,psi_dg
0,0,0,0.0,0.0
48,13,1,1.1519988521062283,15.154068050312599
86,45,2,1.1531648825109484,40.10090754621224
131,66,3,1.1536322870729105,25.016893478100023
176,87,4,1.1536322870729105,25.016893478100023
208,125,5,1.1531648825109484,49.899092453787766
237,166,6,1.1407558388547077,54.727578551401606
273,201,7,1.1409820072862535,44.19307054489763
317,225,8,1.1430235951110184,28.61045966596522
367,228,9,1.1437065636415746,3.4336303624505224
413,210,10,1.1597607317744951,-21.370622269343183
463,204,11,1.137603536873006,-6.84277341263094
511,220,12,1.1322598580360588,18.43494882292201
553,248,13,1.1349222624776354,33.690067525979785
602,256,14,1.153866202585916,9.2726017772003
650,242,15,1.1457628381751033,-16.26020470831196
697,224,16,1.138276830066093,-20.955776730632184
746,214,17,1.1455338153798793,-11.534620653644716
796,217,18,1.1437065636415746,3.4336303624505224
840,241,19,1.1430235951110184,28.61045966596522
870,281,20,1.1457628381751033,53.13010235415598
880,330,21,1.1455338153798793,78.46537934635528
868,379,22,1.1355908033329618,103.76078511179124
856,428,23,1.1355908033329618,103.76078511179124
844,477,24,1.1355908033329618,103.76078511179124
832,526,25,1.1355908033329618,103.76078511179124
820,575,25,0.0,103.76078511179124
817,625,25,0.0,93.43363036245051
797,671,25,0.0,113.49856567595211
760,704,25,0.0,138.27048792318357
