x,y,z,theta_dg,psi_dg
0,0,0,0.0,270.0
43,-43,4,3.763344647910302,-45.0
86,-43,8,5.31454566994475,0.0
129,0,12,3.763344647910302,45.0
172,43,16,3.763344647910302,45.0
215,86,20,3.763344647910302,45.0
258,129,24,3.763344647910302,45.0
301,172,28,3.763344647910302,45.0
344,215,32,3.763344647910302,45.0
387,215,36,5.31454566994475,0.0
430,215,40,5.31454566994475,0.0
473,258,44,3.763344647910302,45.0
516,301,48,3.763344647910302,45.0
559,344,52,3.763344647910302,45.0
559,387,52,0.0,90.0
602,430,52,0.0,45.0
645,473,52,0.0,45.0
688,516,52,0.0,45.0
731,516,52,0.0,0.0
774,516,52,0.0,0.0
817,516,52,0.0,0.0
