x,y,z,theta_dg,psi_dg
0,0,0,0.0,0.0
45,21,1,1.1536322870729105,25.016893478100023
80,56,2,1.1573920981679195,45.0
115,91,3,1.1573920981679195,45.0
144,132,4,1.1407558388547077,54.727578551401606
157,180,5,1.1519988521062283,74.8459319496874
189,218,6,1.1531648825109484,49.899092453787766
230,247,7,1.1407558388547077,35.272421448598394
265,283,8,1.1409820072862535,45.80692945510238
293,324,9,1.153866202585916,55.66978280449668
301,373,10,1.153866202585916,80.7273982227997
292,422,11,1.1499088809791655,100.40771131249006
287,472,12,1.1400781396784554,95.71059313749964
304,519,13,1.1462212961578246,70.11483488614456
308,569,14,1.1421148707438078,85.42607874009914
333,612,15,1.1517660701935302,59.82647997035567
362,653,16,1.1407558388547077,54.727578551401606
371,702,17,1.1499088809791655,79.59228868750995
363,751,18,1.153866202585916,99.27260177720031
372,800,19,1.1499088809791655,79.59228868750995
401,841,20,1.1407558388547077,54.727578551401606
444,866,21,1.1517660701935302,30.173520029644333
494,871,22,1.1400781396784554,5.710593137499642
541,854,23,1.1462212961578246,-19.88516511385544
588,837,24,1.1462212961578246,-19.88516511385544
635,820,25,1.1462212961578246,-19.88516511385544
680,799,25,0.0,-25.016893478100023
723,774,25,0.0,-30.173520029644333
768,753,25,0.0,-25.016893478100023
