x,y,z,theta_dg,psi_dg
784,512,52,0.0,270.0
768,496,50,-5.051152528017927,-135.0
752,480,48,-5.051152528017927,-135.0
736,464,46,-5.051152528017927,-135.0
720,448,44,-5.051152528017927,-135.0
704,432,42,-5.051152528017927,-135.0
688,416,40,-5.051152528017927,-135.0
672,400,38,-5.051152528017927,-135.0
656,384,36,-5.051152528017927,-135.0
640,368,34,-5.051152528017927,-135.0
640,352,34,0.0,-90.0
624,336,32,-5.051152528017927,-135.0
608,320,30,-5.051152528017927,-135.0
592,304,28,-5.051152528017927,-135.0
576,288,26,-5.051152528017927,-135.0
560,272,24,-5.051152528017927,-135.0
544,256,22,-5.051152528017927,-135.0
528,256,20,-7.125016348901798,180.0
512,256,18,-7.125016348901798,180.0
496,256,16,-7.125016348901798,180.0
480,240,14,-5.051152528017927,-135.0
464,224,12,-5.051152528017927,-135.0
448,208,10,-5.051152528017927,-135.0
432,192,8,-5.051152528017927,-135.0
416,176,6,-5.051152528017927,-135.0
400,160,4,-5.051152528017927,-135.0
384,144,2,-5.051152528017927,-135.0
368,128,0,-5.051152528017927,-135.0
352,112,0,0.0,-135.0
336,96,0,0.0,-135.0
320,80,0,0.0,-135.0
304,64,0,0.0,-135.0
288,48,0,0.0,-135.0
272,32,0,0.0,-135.0
256,16,0,0.0,-135.0
240,0,0,0.0,-135.0
224,0,0,0.0,180.0
208,0,0,0.0,180.0
192,0,0,0.0,180.0
176,0,0,0.0,180.0
160,0,0,0.0,180.0
144,0,0,0.0,180.0
128,0,0,0.0,180.0
112,0,0,0.0,180.0
96,0,0,0.0,180.0
80,0,0,0.0,180.0
64,0,0,0.0,180.0
48,0,0,0.0,180.0
32,0,0,0.0,180.0
16,0,0,0.0,180.0
0,0,0,0.0,180.0
